hemisphere,nday,min,q1,mean,median,q3,max
south,94,4.237,5.13875,5.636025,5.598,6.08375,7.097
south,95,4.325,5.328,5.8085609756097565,5.764,6.166,7.224
south,96,4.454,5.32325,5.839125,5.7620000000000005,6.24625,7.336
south,97,4.569,5.538,6.01980487804878,5.975,6.392,7.502
south,98,4.677,5.544499999999999,6.0508999999999995,6.021,6.43775,7.624
south,99,4.815,5.718,6.233512195121952,6.264,6.595,7.755
south,100,4.76,5.735,6.256825,6.241,6.63525,7.939
south,101,5.007,5.922,6.452170731707317,6.565,6.839,8.036
south,102,4.937,5.9265,6.4705,6.473000000000001,6.875249999999999,8.146
south,103,5.22,6.107,6.674170731707317,6.761,6.993,8.203
south,104,5.026,6.1305,6.67685,6.667,7.08975,8.372
south,105,5.425,6.339,6.888439024390244,6.981,7.201,8.566
south,106,5.197,6.392499999999999,6.900625,6.947,7.300000000000001,8.69
south,107,5.65,6.655,7.116170731707317,7.18,7.475,8.784
south,108,5.465,6.61325,7.112475,7.1625,7.537749999999999,8.904
south,109,5.749,6.837,7.32,7.323,7.654,9.01
south,110,5.726,6.87075,7.323825,7.364000000000001,7.76225,9.194
south,111,6.007,7.087,7.530731707317074,7.498,7.92,9.245
south,112,6.019,7.0760000000000005,7.528475,7.564500000000001,7.931,9.334
south,113,6.191,7.35,7.750536585365854,7.829,8.111,9.476
south,114,6.215,7.29075,7.7535,7.843500000000001,8.1515,9.622
south,115,6.351,7.574,7.969853658536586,8.097,8.336,9.788
south,116,6.34,7.49575,7.9683,8.067,8.374500000000001,9.865
south,117,6.592,7.824,8.186829268292684,8.259,8.581,9.966
south,118,6.626,7.7025,8.193475,8.2705,8.5855,10.095
south,119,6.76,8.032,8.39980487804878,8.522,8.787,10.164
south,120,6.831,7.97175,8.408775,8.563,8.82425,10.278
south,121,6.967,8.194,8.61319512195122,8.703,8.951,10.381
south,122,7.055,8.129,8.631475,8.74,9.021749999999999,10.468
south,123,7.171,8.492,8.849878048780488,8.909,9.225,10.574
south,124,7.279,8.2835,8.86135,9.0085,9.2655,10.636
south,125,7.38,8.632,9.07880487804878,9.154,9.396,10.753
south,126,7.495,8.515749999999999,9.08235,9.222000000000001,9.52225,10.869
south,127,7.605,8.853,9.304073170731707,9.384,9.683,11.031
south,128,7.739,8.83575,9.32105,9.411000000000001,9.77825,11.158
south,129,7.822,8.983,9.519121951219512,9.618,9.905,11.227
south,130,7.939,8.992,9.52055,9.6495,9.978,11.278
south,131,8.123,9.261,9.730341463414634,9.815,10.066,11.293
south,132,8.194,9.269,9.7413,9.8965,10.129249999999999,11.395
south,133,8.239,9.489,9.949463414634147,10.078,10.293,11.545
south,134,8.311,9.504750000000001,9.963175,10.0715,10.384,11.672
south,135,8.39,9.649,10.165829268292683,10.285,10.572,11.807
south,136,8.388,9.67225,10.183425,10.313,10.58725,11.932
south,137,8.457,9.841,10.383536585365853,10.449,10.803,11.948
south,138,8.614,9.86875,10.3956,10.492,10.869,11.973
south,139,8.726,10.099,10.60880487804878,10.698,11.039,12.012
south,140,8.875,10.08925,10.634925,10.808,11.08375,12.189
south,141,8.977,10.397,10.840878048780487,10.936,11.383,12.287
south,142,9.094,10.3225,10.836375,10.942,11.2105,12.393
south,143,9.206,10.565,11.042975609756098,11.075,11.405,12.515
south,144,9.278,10.48475,11.036675,11.131,11.44725,12.61
south,145,9.254,10.8,11.238463414634147,11.342,11.721,12.692
south,146,9.305,10.758750000000001,11.232825,11.2975,11.682749999999999,12.763
south,147,9.433,11.055,11.441756097560976,11.466,11.881,12.83
south,148,9.514,11.00425,11.443624999999999,11.498999999999999,12.027750000000001,12.91
south,149,9.636,11.183,11.63558536585366,11.672,12.111,12.886
south,150,9.748,11.13475,11.63375,11.695,12.091749999999998,12.979
south,151,9.845,11.441,11.85170731707317,11.905,12.282,13.115
south,152,9.982,11.426,11.876225,11.8935,12.2865,13.242
south,153,10.145,11.677,12.067487804878049,12.083,12.449,13.363
south,154,10.227,11.665,12.077325,12.108,12.55575,13.426
south,155,10.238,11.913,12.269926829268293,12.281,12.653,13.533
south,156,10.287,11.889500000000002,12.2951,12.283000000000001,12.689499999999999,13.621
south,157,10.382,12.181,12.487439024390243,12.554,12.819,13.745
south,158,10.527,12.122,12.4959,12.564,12.904250000000001,13.865
south,159,10.52,12.297,12.685219512195122,12.725,13.091,13.892
south,160,10.597,12.29,12.7083,12.779,13.097999999999999,13.964
south,161,10.691,12.567,12.895853658536586,12.96,13.323,14.093
south,162,10.737,12.554249999999998,12.90955,12.932,13.34275,14.233
south,163,10.774,12.767,13.079975609756097,13.159,13.462,14.303
south,164,10.856,12.7475,13.107375,13.109,13.553250000000002,14.415
south,165,10.849,13.032,13.297024390243902,13.389,13.733,14.571
south,166,10.974,13.0305,13.327175,13.3645,13.7605,14.703
south,167,11.146,13.171,13.50029268292683,13.523,13.941,14.831
south,168,11.26,13.148750000000001,13.5417,13.59,13.908999999999999,15.014
south,169,11.289,13.368,13.690731707317074,13.716,14.094,15.084
